0|2|3|3|2
1|2|3|2|0
2|2|3|2|1
3|2|3|2|0
4|2|3|3|2
5|2|3|3|3
6|2|3|3|2
7|1|0|2|2
8|2|3|2|3
9|2|3|3|2
10|3|3|3|3
11|3|3|3|3
12|2|3|3|2
13|3|3|3|3
14|2|3|2|1
15|3|3|3|3
16|2|3|3|2
17|3|3|3|3
18|3|3|3|3
19|1|0|2|2
20|0|0|2|0
21|2|3|3|3
22|3|3|3|3
23|3|3|3|3
24|3|3|3|2
25|2|3|2|2
26|2|3|3|2
27|3|3|3|3
28|1|3|2|1
29|3|3|3|3
30|2|3|3|2
31|2|3|3|2
32|3|3|3|3
33|1|0|2|2
34|1|3|2|0
35|2|3|2|2
36|2|3|3|2
37|3|3|3|3
38|2|3|3|3
39|2|3|3|2
40|1|3|2|2
41|3|3|3|3
42|2|3|3|3
43|2|3|3|2
44|1|3|2|2
45|2|3|3|3
46|2|3|3|3
47|1|3|2|2
