0|3|3|3|2
1|2|3|2|0
2|3|3|3|1
3|2|3|2|1
4|3|3|3|2
5|3|3|3|3
6|3|3|3|2
7|1|0|2|3
8|2|3|2|3
9|3|3|3|3
10|3|3|3|3
11|3|3|3|3
12|3|3|3|3
13|3|3|3|3
14|2|3|3|2
15|3|3|3|3
16|3|3|3|3
17|3|3|3|3
18|3|3|3|3
19|1|0|2|3
20|1|0|2|1
21|3|3|3|3
22|3|3|3|3
23|3|3|3|3
24|3|3|3|2
25|2|3|2|2
26|3|3|3|2
27|3|3|3|3
28|1|3|2|2
29|3|3|3|3
30|3|3|3|3
31|3|3|3|2
32|3|3|3|3
33|1|0|2|3
34|1|3|2|0
35|3|3|2|2
36|3|3|3|2
37|3|3|3|3
38|3|3|3|3
39|3|3|3|2
40|2|3|3|2
41|3|3|3|3
42|3|3|3|3
43|3|3|3|2
44|2|3|3|2
45|3|3|3|3
46|3|3|3|3
47|2|3|3|2
